question_text,question_tokens,predicted_parametric_answers,answer,Unnamed: 0
who plays wyatt on the bold and the beautiful,"['who', 'plays', 'wyatt', 'on', 'the', 'bold', 'and', 'the', 'beautiful']",darin lee brooks, Darin Lee Brooks,2088
who plays zelda in the shape of water,"['who', 'plays', 'zelda', 'in', 'the', 'shape', 'of', 'water']",octavia spencer, Octavia Spencer,1165
who plays zoe barnes on house of cards,"['who', 'plays', 'zoe', 'barnes', 'on', 'house', 'of', 'cards']",kate rooney, Kate Rooney Mara,2717
who produced back to you by selena gomez,"['who', 'produced', 'back', 'to', 'you', 'by', 'selena', 'gomez']",amy allen, Interscope,2340
who produced the first motor that ran on ac,"['who', 'produced', 'the', 'first', 'motor', 'that', 'ran', 'on', 'ac']",walter baily, Elihu Thomson,4681
who produces the most cars in the world,"['who', 'produces', 'the', 'most', 'cars', 'in', 'the', 'world']",china, China,5108
who produces the most cotton in the us,"['who', 'produces', 'the', 'most', 'cotton', 'in', 'the', 'us']",southern united states, the southern United States,243
who proposed an influential model of working memory,"['who', 'proposed', 'an', 'influential', 'model', 'of', 'working', 'memory']",alan baddeley, Alan Baddeley,4287
who proposed that atomic nucleus is positively charged,"['who', 'proposed', 'that', 'atomic', 'nucleus', 'is', 'positively', 'charged']",ernest rutherford, J.J. Thomson,969
who proposed the creation of the bank of north america modeled on the bank of england,"['who', 'proposed', 'the', 'creation', 'of', 'the', 'bank', 'of', 'north', 'america', 'modeled', 'on', 'the', 'bank', 'of', 'england']",alexander hamilton, Alexander Hamilton,2728
who provided military support for north korea during the korean war,"['who', 'provided', 'military', 'support', 'for', 'north', 'korea', 'during', 'the', 'korean', 'war']",soviet union, Soviet Union,5116
who provided the rationalization of existence based upon reason and not supernatural factors,"['who', 'provided', 'the', 'rationalization', 'of', 'existence', 'based', 'upon', 'reason', 'and', 'not', 'supernatural', 'factors']",descartes, Descartes,2202
who published harry potter and the cursed child,"['who', 'published', 'harry', 'potter', 'and', 'the', 'cursed', 'child']",little brown and company uk," Little , Brown and Company ( UK )",4874
who qualified in group h fifa world cup,"['who', 'qualified', 'in', 'group', 'h', 'fifa', 'world', 'cup']",belgium, Belgium,601
who recorded the song do you love me,"['who', 'recorded', 'the', 'song', 'do', 'you', 'love', 'me']",contours, The Contours,5338
who recorded the song total eclipse of the heart,"['who', 'recorded', 'the', 'song', 'total', 'eclipse', 'of', 'the', 'heart']",bonnie tyler, Bonnie Tyler,4267
who refused to receive the olive branch petition,"['who', 'refused', 'to', 'receive', 'the', 'olive', 'branch', 'petition']",great britain, King George,437
who replaced johnny carson on the tonight show,"['who', 'replaced', 'johnny', 'carson', 'on', 'the', 'tonight', 'show']",steve allen, Jay Leno,1904
who replaces the president in order of succession,"['who', 'replaces', 'the', 'president', 'in', 'order', 'of', 'succession']",speaker of the house of representatives," Vice President ,",3243
who represents minnesota in the house of representatives,"['who', 'represents', 'minnesota', 'in', 'the', 'house', 'of', 'representatives']",tim walz, Minnesota 's 1st district : Tim Walz ( D ) ( since 2007 ),5218
who said everything is fair in love and war,"['who', 'said', 'everything', 'is', 'fair', 'in', 'love', 'and', 'war']",john lyly s euphues, John Lyly,4280
who said everything is fare in love and war,"['who', 'said', 'everything', 'is', 'fare', 'in', 'love', 'and', 'war']",john lyly s euphues, John Lyly 's Euphues,3260
who said full speed ahead and damn the torpedoes,"['who', 'said', 'full', 'speed', 'ahead', 'and', 'damn', 'the', 'torpedoes']",david glasgow farragut, David Glasgow Farragut,4138
who said life is a bowl of cherries,"['who', 'said', 'life', 'is', 'a', 'bowl', 'of', 'cherries']",ray henderson, Lew Brown,4102
who said matter was made of fire earth air and water,"['who', 'said', 'matter', 'was', 'made', 'of', 'fire', 'earth', 'air', 'and', 'water']",empedocles, Empedocles,4660
who sang all in the family theme song,"['who', 'sang', 'all', 'in', 'the', 'family', 'theme', 'song']",lee adams lyrics and charles strouse music was presented in a unique way for a s series carroll o connor and jean stapleton, Carroll O'Connor,1664
who sang always something there to remind me original,"['who', 'sang', 'always', 'something', 'there', 'to', 'remind', 'me', 'original']",lou johnson, Lou Johnson,2560
who sang amy what you going to do,"['who', 'sang', 'amy', 'what', 'you', 'going', 'to', 'do']",pure prairie league, Pure Prairie League,4151
who sang been through the desert on a horse with no name,"['who', 'sang', 'been', 'through', 'the', 'desert', 'on', 'a', 'horse', 'with', 'no', 'name']",dewey bunnell, the folk rock band America,1093
who sang black cars look better in the shade,"['who', 'sang', 'black', 'cars', 'look', 'better', 'in', 'the', 'shade']",gino vannelli, Gino Vannelli,5713
who sang built this city on rock and roll,"['who', 'sang', 'built', 'this', 'city', 'on', 'rock', 'and', 'roll']",bernie taupin martin, Starship,5866
who sang cherish is the word i use to describe,"['who', 'sang', 'cherish', 'is', 'the', 'word', 'i', 'use', 'to', 'describe']",, The Association,3791
who sang desert on a horse with no name,"['who', 'sang', 'desert', 'on', 'a', 'horse', 'with', 'no', 'name']",dewey bunnell, America,688
who sang fly me to the moon originally,"['who', 'sang', 'fly', 'me', 'to', 'the', 'moon', 'originally']",bart howard kaye ballard, Kaye Ballard,4762
who sang for the wonders in that thing you do,"['who', 'sang', 'for', 'the', 'wonders', 'in', 'that', 'thing', 'you', 'do']",adam schlesinger, Mike Viola,1953
who sang heard it through the grapevine first,"['who', 'sang', 'heard', 'it', 'through', 'the', 'grapevine', 'first']",the miracles, The Miracles,557
who sang how do you talk to an angel,"['who', 'sang', 'how', 'do', 'you', 'talk', 'to', 'an', 'angel']",jamie walters, Jamie Walters,5649
who sang i could not ask for more first,"['who', 'sang', 'i', 'could', 'not', 'ask', 'for', 'more', 'first']",diane warren, Edwin McCain,2176
who sang i was born in saginaw michigan,"['who', 'sang', 'i', 'was', 'born', 'in', 'saginaw', 'michigan']",lefty frizzell, Lefty Frizzell,119
who sang lazy hazy crazy days of summer,"['who', 'sang', 'lazy', 'hazy', 'crazy', 'days', 'of', 'summer']",nat king cole, Nat King Cole,5480
who sang lead vocals on blue collar man,"['who', 'sang', 'lead', 'vocals', 'on', 'blue', 'collar', 'man']",tommy shaw, Tommy Shaw,3950
who sang lead vocals on sunshine of your love,"['who', 'sang', 'lead', 'vocals', 'on', 'sunshine', 'of', 'your', 'love']",jack bruce, Jack Bruce,679
who sang my heart beats like a drum,"['who', 'sang', 'my', 'heart', 'beats', 'like', 'a', 'drum']",atc, ATC,1785
who sang nice one cyril nice one son,"['who', 'sang', 'nice', 'one', 'cyril', 'nice', 'one', 'son']",harold spiro, Cockerel Chorus,257
who sang oh for the wings of a dove,"['who', 'sang', 'oh', 'for', 'the', 'wings', 'of', 'a', 'dove']",ernest arthur lough, Ernest Arthur Lough,1271
who sang one is the loneliest number original,"['who', 'sang', 'one', 'is', 'the', 'loneliest', 'number', 'original']",harry nilsson, Harry Nilsson,5030
who sang shine bright like a diamond first,"['who', 'sang', 'shine', 'bright', 'like', 'a', 'diamond', 'first']",rihanna, Rihanna,2863
who sang sister mary robert in sister act,"['who', 'sang', 'sister', 'mary', 'robert', 'in', 'sister', 'act']",andrea robinson, Andrea Robinson,917
who sang sweet dreams baby with roy orbison,"['who', 'sang', 'sweet', 'dreams', 'baby', 'with', 'roy', 'orbison']",cindy walker, Roy Orbison as a single in 1962,756
who sang take it to the limit for the eagles,"['who', 'sang', 'take', 'it', 'to', 'the', 'limit', 'for', 'the', 'eagles']",randy meisner, Randy Meisner,2322
who sang take my breath away top gun,"['who', 'sang', 'take', 'my', 'breath', 'away', 'top', 'gun']",berlin, Berlin,5235
who sang the answer my friend is blowing in the wind,"['who', 'sang', 'the', 'answer', 'my', 'friend', 'is', 'blowing', 'in', 'the', 'wind']",bob dylan, Bob Dylan,1348
who sang the last resort by the eagles,"['who', 'sang', 'the', 'last', 'resort', 'by', 'the', 'eagles']",don henley, Don Henley,5882
who sang the original i can see clearly now the rain has gone,"['who', 'sang', 'the', 'original', 'i', 'can', 'see', 'clearly', 'now', 'the', 'rain', 'has', 'gone']",johnny nash, Johnny Nash,2334
who sang the original monday night football song,"['who', 'sang', 'the', 'original', 'monday', 'night', 'football', 'song']",, Bob 's Band,5647
who sang the original version of me and mrs jones,"['who', 'sang', 'the', 'original', 'version', 'of', 'me', 'and', 'mrs', 'jones']",billy paul, Billy Paul,4813
who sang the song cotton fields back home,"['who', 'sang', 'the', 'song', 'cotton', 'fields', 'back', 'home']",huddie ledbetter, Huddie Ledbetter,2539
who sang the song give me some sunshine,"['who', 'sang', 'the', 'song', 'give', 'me', 'some', 'sunshine']",suraj jagan, Suraj Jagan,5888
who sang the song gran torino in the movie,"['who', 'sang', 'the', 'song', 'gran', 'torino', 'in', 'the', 'movie']",clint eastwood, Kyle Eastwood,3863
who sang the song life in the fast lane,"['who', 'sang', 'the', 'song', 'life', 'in', 'the', 'fast', 'lane']",joe walsh glenn frey, Eagles,617
who sang the super mario bros super show theme song,"['who', 'sang', 'the', 'super', 'mario', 'bros', 'super', 'show', 'theme', 'song']",plumber rap lou albano, Lou Albano and Danny Wells,1182
who sang the theme song for love boat,"['who', 'sang', 'the', 'theme', 'song', 'for', 'love', 'boat']",jack jones, American singer and actor Jack Jones,2922
who sang the theme to greatest american hero,"['who', 'sang', 'the', 'theme', 'to', 'greatest', 'american', 'hero']",joey scarbury, Joey Scarbury,267
who sang we are the world usa for africa,"['who', 'sang', 'we', 'are', 'the', 'world', 'usa', 'for', 'africa']",michael jackson, supergroup,5279
who sang what do you want from me first,"['who', 'sang', 'what', 'do', 'you', 'want', 'from', 'me', 'first']",pink max martin, Pink,3625
who sang what have i done to deserve this,"['who', 'sang', 'what', 'have', 'i', 'done', 'to', 'deserve', 'this']",dusty springfield, English synthpop duo Pet Shop Boys,1453
who sang when the moon hits your eye,"['who', 'sang', 'when', 'the', 'moon', 'hits', 'your', 'eye']",harry warren and lyricist jack brooks it became a major hit and signature song for dean martin, Dean Martin,446
who sang you are always on my mind first,"['who', 'sang', 'you', 'are', 'always', 'on', 'my', 'mind', 'first']",johnny christopher mark james and wayne carson recorded first by gwen mccrae, Gwen McCrae,5734
who says hakuna matata in the lion king,"['who', 'says', 'hakuna', 'matata', 'in', 'the', 'lion', 'king']",timon and pumbaa s catchphrase in the movie hakuna matata which is a swahili phrase it means no worries, Timon and Pumbaa,6151
who scored most goals in premier league season,"['who', 'scored', 'most', 'goals', 'in', 'premier', 'league', 'season']",manchester city, Manchester City,5224
who sing the house of the rising sun,"['who', 'sing', 'the', 'house', 'of', 'the', 'rising', 'sun']",the animals," most successful commercial version , recorded in 1964 by British rock group the Animals",4236
who sings can you feel the love tonight in the movie the lion king,"['who', 'sings', 'can', 'you', 'feel', 'the', 'love', 'tonight', 'in', 'the', 'movie', 'the', 'lion', 'king']",kristle edwards, Kristle Edwards,2256
who sings did i shave my legs for this,"['who', 'sings', 'did', 'i', 'shave', 'my', 'legs', 'for', 'this']",deana carter, Deana Carter,2398
who sings do i love you northern soul,"['who', 'sings', 'do', 'i', 'love', 'you', 'northern', 'soul']",frank wilson, Frank Wilson,1545
who sings for meena in the movie sing,"['who', 'sings', 'for', 'meena', 'in', 'the', 'movie', 'sing']",tori kelly, Tori Kelly,1372
who sings for steve smith on american dad,"['who', 'sings', 'for', 'steve', 'smith', 'on', 'american', 'dad']",scott grimes, Scott Grimes,5460
who sings goodbye horses in silence of the lambs,"['who', 'sings', 'goodbye', 'horses', 'in', 'silence', 'of', 'the', 'lambs']",q lazzarus, Q Lazzarus,5534
who sings have you ever seen the rain,"['who', 'sings', 'have', 'you', 'ever', 'seen', 'the', 'rain']",john fogerty, Creedence Clearwater Revival,3303
who sings hawaiian version of over the rainbow,"['who', 'sings', 'hawaiian', 'version', 'of', 'over', 'the', 'rainbow']",israel, Israel Kaʻanoʻi Kamakawiwoʻole,1715
who sings hey baby i want to know,"['who', 'sings', 'hey', 'baby', 'i', 'want', 'to', 'know']",margaret cobb, Bruce Channel,4959
who sings i just died in your arms,"['who', 'sings', 'i', 'just', 'died', 'in', 'your', 'arms']",cutting crew the song was released as the lead single from their debut studio album broadcast it was first released on july in the united kingdom and then released to the united states on january the song was written by frontman nick van eede, Cutting Crew,962
who sings i like it like that yeah baby,"['who', 'sings', 'i', 'like', 'it', 'like', 'that', 'yeah', 'baby']",tony pabon and manny rodriguez, Pete Rodriguez,3137
who sings i want a man with a slow hand,"['who', 'sings', 'i', 'want', 'a', 'man', 'with', 'a', 'slow', 'hand']",john bettis, The Pointer Sisters,1795
who sings if i loved you from carousel,"['who', 'sings', 'if', 'i', 'loved', 'you', 'from', 'carousel']",gordon macrae, Gordon MacRae,2661
who sings in the middle of a memory,"['who', 'sings', 'in', 'the', 'middle', 'of', 'a', 'memory']",cole swindell, Cole Swindell,971
who sings let me see beneath your beautiful,"['who', 'sings', 'let', 'me', 'see', 'beneath', 'your', 'beautiful']",labrinth mike posner, Labrinth,3661
who sings love you just the way you are,"['who', 'sings', 'love', 'you', 'just', 'the', 'way', 'you', 'are']",billy joel, Billy Joel,3548
who sings misty mountains cold in the hobbit,"['who', 'sings', 'misty', 'mountains', 'cold', 'in', 'the', 'hobbit']",, Richard Armitage and The Dwarf Cast,4076
who sings peep and the big wide world theme song,"['who', 'sings', 'peep', 'and', 'the', 'big', 'wide', 'world', 'theme', 'song']",taj mahal, Taj Mahal,3010
who sings ride captain ride upon your mystery ship,"['who', 'sings', 'ride', 'captain', 'ride', 'upon', 'your', 'mystery', 'ship']",mike pinera, American rock band Blues Image,5159
who sings the blue bell ice cream song,"['who', 'sings', 'the', 'blue', 'bell', 'ice', 'cream', 'song']",barker, Barker,2036
who sings the country song light it up,"['who', 'sings', 'the', 'country', 'song', 'light', 'it', 'up']",luke bryan, Luke Bryan,1557
who sings the cw dare to defy song,"['who', 'sings', 'the', 'cw', 'dare', 'to', 'defy', 'song']",crystals is a song written and recorded by icelandic indie folk indie pop band of monsters and men, Of Monsters and Men,1091
who sings the national anthem for the detroit red wings,"['who', 'sings', 'the', 'national', 'anthem', 'for', 'the', 'detroit', 'red', 'wings']",karen newman, Karen Newman,2926
who sings the nfl thursday night football song,"['who', 'sings', 'the', 'nfl', 'thursday', 'night', 'football', 'song']",pentatonix, Pentatonix,1974
who sings the original king of the road,"['who', 'sings', 'the', 'original', 'king', 'of', 'the', 'road']",roger miller, country singer Roger Miller,6109
who sings the song a penny for your thoughts,"['who', 'sings', 'the', 'song', 'a', 'penny', 'for', 'your', 'thoughts']",tavares, Tavares,1547
who sings the song at the end of finding nemo,"['who', 'sings', 'the', 'song', 'at', 'the', 'end', 'of', 'finding', 'nemo']",robbie williams, Robbie Williams,5341
who sings the song blame it on me,"['who', 'sings', 'the', 'song', 'blame', 'it', 'on', 'me']",george ezra, British singer - songwriter George Ezra,349
who sings the song have you heard about the lonesome loser,"['who', 'sings', 'the', 'song', 'have', 'you', 'heard', 'about', 'the', 'lonesome', 'loser']",first under the wire is the fifth album by australian group little river band, Little River Band,3150
who sings the song heat of the moment,"['who', 'sings', 'the', 'song', 'heat', 'of', 'the', 'moment']",passion emotion, Asia,2732
who sings the song how great is our god,"['who', 'sings', 'the', 'song', 'how', 'great', 'is', 'our', 'god']",chris tomlin, Chris Tomlin,5774
who sings the song in the man in the high castle,"['who', 'sings', 'the', 'song', 'in', 'the', 'man', 'in', 'the', 'high', 'castle']",jeanette olsson, Jeanette Olsson,402
who sings the song it never rains in southern california,"['who', 'sings', 'the', 'song', 'it', 'never', 'rains', 'in', 'southern', 'california']",albert hammond, Hammond,1226
who sings the song ooh baby i love your way,"['who', 'sings', 'the', 'song', 'ooh', 'baby', 'i', 'love', 'your', 'way']",peter frampton, Peter Frampton,2925
who sings the song strip it down for me,"['who', 'sings', 'the', 'song', 'strip', 'it', 'down', 'for', 'me']",quavo," English singer and songwriter Liam Payne , featuring guest vocals from American rapper Quavo",4057
who sings the song to orange is the new black,"['who', 'sings', 'the', 'song', 'to', 'orange', 'is', 'the', 'new', 'black']",regina spektor, Regina Spektor,5780
who sings the song you dropped the bomb on me,"['who', 'sings', 'the', 'song', 'you', 'dropped', 'the', 'bomb', 'on', 'me']",gap band," The Gap Band ,",3284
who sings the theme song for the tv show the fosters,"['who', 'sings', 'the', 'theme', 'song', 'for', 'the', 'tv', 'show', 'the', 'fosters']",kari meredyth kimmel, Kari Meredyth Kimmel,3272
who sings the theme song to kim possible,"['who', 'sings', 'the', 'theme', 'song', 'to', 'kim', 'possible']",christina milian, Christina Milian,2227
who sings the theme song to the jeffersons,"['who', 'sings', 'the', 'theme', 'song', 'to', 'the', 'jeffersons']",ja net dubois, Ja'net Dubois,2387
who sings the theme song to true blood,"['who', 'sings', 'the', 'theme', 'song', 'to', 'true', 'blood']",jace everett, Jace Everett,4053
who sings the theme tune to bulletproof on sky one,"['who', 'sings', 'the', 'theme', 'tune', 'to', 'bulletproof', 'on', 'sky', 'one']",tom grennan, Chase & Status,600
who sings these boots are made for walkin,"['who', 'sings', 'these', 'boots', 'are', 'made', 'for', 'walkin']",lee hazlewood, Nancy Sinatra,2265
who sings this is the end of the innocence,"['who', 'sings', 'this', 'is', 'the', 'end', 'of', 'the', 'innocence']",don henley, Don Henley,1162
who sings to make you feel my love in hope floats,"['who', 'sings', 'to', 'make', 'you', 'feel', 'my', 'love', 'in', 'hope', 'floats']",bob dylan, Garth Brooks,314
who sings waiting for the world to change,"['who', 'sings', 'waiting', 'for', 'the', 'world', 'to', 'change']",john mayer, John Mayer,2164
who sings we all die young steel dragon,"['who', 'sings', 'we', 'all', 'die', 'young', 'steel', 'dragon']",michael matijevic, Miljenko Matijevic,2216
who sings with katy perry chained to the rhythm,"['who', 'sings', 'with', 'katy', 'perry', 'chained', 'to', 'the', 'rhythm']",skip marley, Skip Marley,3698
who sings you say it best when you say nothing at all,"['who', 'sings', 'you', 'say', 'it', 'best', 'when', 'you', 'say', 'nothing', 'at', 'all']",keith whitley, Keith Whitley,2958
who sold more albums elvis or micheal jackson,"['who', 'sold', 'more', 'albums', 'elvis', 'or', 'micheal', 'jackson']",michael jackson sold million records alive the beatles, Michael Jackson,155
who starred in gold and the man with the golden gun,"['who', 'starred', 'in', 'gold', 'and', 'the', 'man', 'with', 'the', 'golden', 'gun']",roger moore, Roger Moore,5451
who starred in oh what a lovely war,"['who', 'starred', 'in', 'oh', 'what', 'a', 'lovely', 'war']",maggie smith dirk bogarde john gielgud john mills kenneth more laurence olivier jack hawkins corin redgrave michael redgrave, Maggie Smith,1017
who starred in the most carry on movies,"['who', 'starred', 'in', 'the', 'most', 'carry', 'on', 'movies']",leslie phillips, Kenneth Williams,2904
who starred in the new wonder woman movie,"['who', 'starred', 'in', 'the', 'new', 'wonder', 'woman', 'movie']",gal gadot varsano, Gal Gadot - Varsano,5578
who starred in the original father of the bride,"['who', 'starred', 'in', 'the', 'original', 'father', 'of', 'the', 'bride']",spencer tracy, Spencer Tracy,5919
who stars in the new movie baby driver,"['who', 'stars', 'in', 'the', 'new', 'movie', 'baby', 'driver']",ansel elgort, Ansel Elgort,4664
who stole the lightning bolt in percy jackson book,"['who', 'stole', 'the', 'lightning', 'bolt', 'in', 'percy', 'jackson', 'book']",luke, Luke,4310
who the girl in somebody that i used to know,"['who', 'the', 'girl', 'in', 'somebody', 'that', 'i', 'used', 'to', 'know']",gotye and kimbra, Kimbra,915
who tried to prevent the march on washington,"['who', 'tried', 'to', 'prevent', 'the', 'march', 'on', 'washington']",activists a philip randolph, President Roosevelt,4672
who tried to stop ravana from kidnapping sita,"['who', 'tried', 'to', 'stop', 'ravana', 'from', 'kidnapping', 'sita']",jatayu, Jatayu,1174
who turned out to be the mother in how i met your mother,"['who', 'turned', 'out', 'to', 'be', 'the', 'mother', 'in', 'how', 'i', 'met', 'your', 'mother']",tracy mcconnell, Tracy McConnell,4365
who voiced darth vader in a new hope,"['who', 'voiced', 'darth', 'vader', 'in', 'a', 'new', 'hope']",david prowse, James Earl Jones,677
who voiced red hood in under the red hood,"['who', 'voiced', 'red', 'hood', 'in', 'under', 'the', 'red', 'hood']",bruce greenwood, Jensen Ackles,2903
who voices gray in fairy tail english dub,"['who', 'voices', 'gray', 'in', 'fairy', 'tail', 'english', 'dub']",newton brandburn pittman, Newton Brandburn Pittman,4595
who voices mike and sully in monsters inc,"['who', 'voices', 'mike', 'and', 'sully', 'in', 'monsters', 'inc']",john goodman, John Goodman as James P. `` Sulley '' Sullivan,4441
who voices the beast in the new beauty and the beast,"['who', 'voices', 'the', 'beast', 'in', 'the', 'new', 'beauty', 'and', 'the', 'beast']",dan stevens, Dan Stevens,4689
who want to be a millionaire winners uk,"['who', 'want', 'to', 'be', 'a', 'millionaire', 'winners', 'uk']",judith cynthia aline keppel, Judith Cynthia Aline Keppel,594
who was allowed to vote for president in the early united states,"['who', 'was', 'allowed', 'to', 'vote', 'for', 'president', 'in', 'the', 'early', 'united', 'states']",white male, only white male adult property owners to vote,2257
who was buried at the place now known as bury st edmunds,"['who', 'was', 'buried', 'at', 'the', 'place', 'now', 'known', 'as', 'bury', 'st', 'edmunds']",king saint edmund, Anglo - Saxon martyr - king Saint Edmund,5812
who was defeated and killed in the fourth mysore war at srirangapatna,"['who', 'was', 'defeated', 'and', 'killed', 'in', 'the', 'fourth', 'mysore', 'war', 'at', 'srirangapatna']",tipu sultan, Tipu Sultan,704
who was in charge of the d day invasion,"['who', 'was', 'in', 'charge', 'of', 'the', 'd', 'day', 'invasion']",frederick e morgan, British Lieutenant - General Frederick E. Morgan,5811
who was in charge of writing the declaration of independence,"['who', 'was', 'in', 'charge', 'of', 'writing', 'the', 'declaration', 'of', 'independence']",john adams, John Adams,2159
who was known as the father of roman poetry and wrote annales an epic poem about the history of rome,"['who', 'was', 'known', 'as', 'the', 'father', 'of', 'roman', 'poetry', 'and', 'wrote', 'annales', 'an', 'epic', 'poem', 'about', 'the', 'history', 'of', 'rome']",quintus ennius, Quintus Ennius,1932
who was ollie married to in holby city,"['who', 'was', 'ollie', 'married', 'to', 'in', 'holby', 'city']",, Zosia March,4063
who was president during attack on pearl harbor,"['who', 'was', 'president', 'during', 'attack', 'on', 'pearl', 'harbor']",franklin d roosevelt, President Franklin D. Roosevelt,2995
who was president when the afghanistan war started,"['who', 'was', 'president', 'when', 'the', 'afghanistan', 'war', 'started']",george w bush, George W. Bush,40
who was prime minister when the queen was crowned,"['who', 'was', 'prime', 'minister', 'when', 'the', 'queen', 'was', 'crowned']",winston churchill, Winston Churchill,835
who was supposed to be on the titanic,"['who', 'was', 'supposed', 'to', 'be', 'on', 'the', 'titanic']",capt edward smith, some of the wealthiest people in the world,3705
who was the actress that played punky brewster,"['who', 'was', 'the', 'actress', 'that', 'played', 'punky', 'brewster']",soleil moon frye, Soleil Moon Frye,1284
who was the asian kid in indiana jones,"['who', 'was', 'the', 'asian', 'kid', 'in', 'indiana', 'jones']",jonathan luke, Jonathan Luke Ke Huy Quan,1511
who was the black guy in breaking bad,"['who', 'was', 'the', 'black', 'guy', 'in', 'breaking', 'bad']",huell babineaux, Huell Babineaux,4822
who was the boy playing banjo in deliverance,"['who', 'was', 'the', 'boy', 'playing', 'banjo', 'in', 'deliverance']",billy redden, Billy Redden,6156
who was the boy that played the banjo in the movie deliverance,"['who', 'was', 'the', 'boy', 'that', 'played', 'the', 'banjo', 'in', 'the', 'movie', 'deliverance']",billy redden, Billy Redden,2644
who was the child who played little ricky on i love lucy,"['who', 'was', 'the', 'child', 'who', 'played', 'little', 'ricky', 'on', 'i', 'love', 'lucy']",keith thibodeaux, Keith Thibodeaux,1903
who was the city of athens named after,"['who', 'was', 'the', 'city', 'of', 'athens', 'named', 'after']",ath nai, patron goddess Athena,2228
who was the declaration of rights of man and citizen written by,"['who', 'was', 'the', 'declaration', 'of', 'rights', 'of', 'man', 'and', 'citizen', 'written', 'by']",thomas jefferson, Thomas Jefferson,1227
who was the first british pilot to break the sound barrier,"['who', 'was', 'the', 'first', 'british', 'pilot', 'to', 'break', 'the', 'sound', 'barrier']",de havilland dh one of them was geoffrey de havilland jr who was killed on september when his dh broke up at about mach john derry, John Derry,5783
who was the first doctor to perform a heart transplant,"['who', 'was', 'the', 'first', 'doctor', 'to', 'perform', 'a', 'heart', 'transplant']",christiaan neethling barnard, Christiaan Neethling Barnard,4306
who was the first finance minister of india before indopak division,"['who', 'was', 'the', 'first', 'finance', 'minister', 'of', 'india', 'before', 'indopak', 'division']",john mathai, John Mathai,3262
who was the first governor general of india during british rule,"['who', 'was', 'the', 'first', 'governor', 'general', 'of', 'india', 'during', 'british', 'rule']",, Warren Hastings,1454
who was the first indian who win world junior badminton championship,"['who', 'was', 'the', 'first', 'indian', 'who', 'win', 'world', 'junior', 'badminton', 'championship']",nehwal, Nehwal,705
who was the first king in game of thrones,"['who', 'was', 'the', 'first', 'king', 'in', 'game', 'of', 'thrones']",robert baratheon, Robert Baratheon,5129
who was the first king of ancient india,"['who', 'was', 'the', 'first', 'king', 'of', 'ancient', 'india']",sudas, Sudas,2464
who was the first member that left depeche mode,"['who', 'was', 'the', 'first', 'member', 'that', 'left', 'depeche', 'mode']",vince clarke, Vince Clarke,4899
who was the first person diagnosed with autism,"['who', 'was', 'the', 'first', 'person', 'diagnosed', 'with', 'autism']",donald gray triplett, Donald Gray Triplett,703
who was the first person to do graffiti,"['who', 'was', 'the', 'first', 'person', 'to', 'do', 'graffiti']",darryl mccray, Darryl McCray,4647
who was the first person to get baptised in the bible,"['who', 'was', 'the', 'first', 'person', 'to', 'get', 'baptised', 'in', 'the', 'bible']",john, Jesus,3076
who was the first person to go in space from india,"['who', 'was', 'the', 'first', 'person', 'to', 'go', 'in', 'space', 'from', 'india']",rakesh sharma, Rakesh Sharma,847
who was the first person to go skydiving,"['who', 'was', 'the', 'first', 'person', 'to', 'go', 'skydiving']",andr jacques garnerin, André - Jacques Garnerin,2675
who was the first president to get assasinated,"['who', 'was', 'the', 'first', 'president', 'to', 'get', 'assasinated']",john f kennedy, Lincoln,6052
who was the first republican governor of texas since reconstruction and when was he or she elected,"['who', 'was', 'the', 'first', 'republican', 'governor', 'of', 'texas', 'since', 'reconstruction', 'and', 'when', 'was', 'he', 'or', 'she', 'elected']",james pinckney henderson, Elisha M. Pease,4877
who was the first speaker of the lok sabha,"['who', 'was', 'the', 'first', 'speaker', 'of', 'the', 'lok', 'sabha']",ganesh vasudev mavlankar, Ganesh Vasudev Mavlankar,2549
who was the first woman to be sent into space,"['who', 'was', 'the', 'first', 'woman', 'to', 'be', 'sent', 'into', 'space']",valentina vladimirovna tereshkova, Valentina Vladimirovna Tereshkova,5085
who was the girl in ernest saves christmas,"['who', 'was', 'the', 'girl', 'in', 'ernest', 'saves', 'christmas']",noelle parker, Noelle Parker,1388
who was the guy that shot ricky in boyz in the hood,"['who', 'was', 'the', 'guy', 'that', 'shot', 'ricky', 'in', 'boyz', 'in', 'the', 'hood']",lloyd avery, Lloyd Avery II,4321
who was the highest ranking officer killed in vietnam,"['who', 'was', 'the', 'highest', 'ranking', 'officer', 'killed', 'in', 'vietnam']",major general greene, Rear Admiral Rembrandt Cecil Robinson,4943
who was the host of the dating game,"['who', 'was', 'the', 'host', 'of', 'the', 'dating', 'game']",james john lange, James John Lange,4709
who was the ice truck killer on dexter,"['who', 'was', 'the', 'ice', 'truck', 'killer', 'on', 'dexter']",brian moser, Brian Moser,3801
who was the king after bharata in mahabharata,"['who', 'was', 'the', 'king', 'after', 'bharata', 'in', 'mahabharata']",, Bhumanyu,2793
who was the king at the time of bajirao,"['who', 'was', 'the', 'king', 'at', 'the', 'time', 'of', 'bajirao']",chhatrapati shahu, Chhatrapati Shahu,5678
who was the king of england during pride and prejudice,"['who', 'was', 'the', 'king', 'of', 'england', 'during', 'pride', 'and', 'prejudice']",georgian society in jane austen, George III,298
